Combination,Application,Waiting_Time
p,p,0.12000
s,s,0.52000
d,d,0.15000
pp,p,0.17000
pp,p,0.16000
ps,p,0.15000
ps,s,0.77000
pd,p,0.17000
pd,d,0.21000
sp,p,0.13000
sp,s,0.18000
ss,s,0.20000
ss,s,0.85000
sd,d,0.16000
sd,s,0.38000
dp,d,0.20000
dp,p,0.12000
ds,d,0.16000
ds,s,0.33000
dd,d,0.17000
dd,d,0.22000
ppp,p,0.18000
ppp,p,0.19000
ppp,p,0.22000
pps,p,0.21000
pps,p,0.15000
pps,s,0.57000
ppd,d,0.16000
ppd,p,0.15000
ppd,p,0.18000
psp,p,0.16000
psp,p,0.18000
psp,s,0.64000
pss,p,0.21000
pss,s,1.83000
pss,s,1.03000
psd,d,0.13000
psd,p,0.16000
psd,s,0.56000
pdp,d,0.18000
pdp,p,0.22000
pdp,p,0.22000
pds,d,0.17000
pds,p,0.18000
pds,s,0.62000
pdd,p,0.22000
pdd,d,0.20000
pdd,d,0.19000
spp,p,0.19000
spp,p,0.18000
spp,s,0.58000
sps,p,0.16000
sps,s,0.93000
sps,s,0.23000
spd,d,0.18000
spd,p,0.18000
spd,s,0.28000
ssp,p,0.14000
ssp,s,0.55000
ssp,s,0.37000
sss,s,0.20000
sss,s,0.76000
sss,s,0.19000
ssd,d,0.13000
ssd,s,2.17000
ssd,s,0.40000
sdp,d,0.15000
sdp,p,0.16000
sdp,s,0.16000
sds,d,0.20000
sds,s,0.30000
sds,s,1.03000
sdd,d,0.20000
sdd,d,0.17000
sdd,s,0.69000
dpp,d,0.16000
dpp,p,0.19000
dpp,p,0.18000
dps,d,0.15000
dps,p,0.19000
dps,s,0.12000
dpd,d,0.19000
dpd,p,0.20000
dpd,d,0.17000
dsp,d,0.17000
dsp,p,0.16000
dsp,s,0.61000
dss,d,0.13000
dss,s,0.76000
dss,s,0.10000
dsd,d,0.19000
dsd,d,0.18000
dsd,s,0.66000
ddp,d,0.20000
ddp,d,0.17000
ddp,p,0.19000
dds,d,0.21000
dds,d,0.22000
dds,s,0.53000
ddd,d,0.21000
ddd,d,0.19000
ddd,d,0.18000
